GO:0000001	mitochondrion inheritance	线粒体遗传
GO:0000485	cleavage between 2S rRNA and LSU-rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	四顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)中2S rRNA与LSU-rRNA之间的切割
GO:0000486	cleavage between 5.8S rRNA and 2S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	四顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)中5.8S rRNA与2S rRNA之间的切割
GO:0000487	maturation of 5.8S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)	四顺反子rRNA转录本(SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)的5.8S rRNA成熟
GO:0000488	maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)	四顺反子rRNA转录本(SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)的LSU-rRNA成熟
GO:0000489	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)	四顺反子rRNA转录本(SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)的SSU-rRNA成熟
GO:0000491	small nucleolar ribonucleoprotein complex assembly	核仁小核糖核蛋白复合体组装
GO:0000492	box C/D snoRNP assembly	box C/D snoRNP组装
GO:0000493	box H/ACA snoRNP assembly	box H/ACA snoRNP组装
GO:0000494	box C/D sno(s)RNA 3'-end processing	box C/D sno(s)RNA 3'端加工
GO:0000495	box H/ACA sno(s)RNA 3'-end processing	box H/ACA sno(s)RNA 3'端加工
GO:0000497	DNA template activity	DNA模板活性
GO:0000500	RNA polymerase I upstream activating factor complex	RNA聚合酶I上游激活因子复合体
GO:0000502	proteasome complex	蛋白酶体复合体
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	糖基磷脂酰肌醇-N-乙酰氨基葡萄糖转移酶(GPI-GnT)复合体
GO:0000510	H3-H4 histone complex chaperone activity	H3-H4组蛋白复合体伴侣活性
GO:0000511	H2A-H2B histone complex chaperone activity	H2A-H2B组蛋白复合体伴侣活性
GO:0000512	lncRNA-mediated post-transcriptional gene silencing	lncRNA介导的转录后基因沉默
GO:0000513	actin severing activator activity	肌动蛋白切割激活因子活性
GO:0000514	3-sulfino-L-alanine: proton, glutamate antiporter activity	3-磺基-L-丙氨酸:质子,谷氨酸反向转运体活性
GO:0000515	aspartate:glutamate, proton antiporter activity	天冬氨酸:谷氨酸,质子反向转运体活性
GO:0000578	embryonic axis specification	胚胎轴特化
GO:0000700	mismatch base pair DNA N-glycosylase activity	错配碱基对DNA N-糖苷酶活性
GO:0000701	purine-specific mismatch base pair DNA N-glycosylase activity	嘌呤特异性错配碱基对DNA N-糖苷酶活性
GO:0000702	oxidized base lesion DNA N-glycosylase activity	氧化碱基损伤DNA N-糖苷酶活性
GO:0000703	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	氧化嘧啶核碱基损伤DNA N-糖苷酶活性
GO:0000704	pyrimidine dimer DNA N-glycosylase activity	嘧啶二聚体DNA N-糖苷酶活性
GO:0000705	achiasmate meiosis I	无交叉减数分裂I
GO:0000706	meiotic DNA double-strand break processing	减数分裂DNA双链断裂加工
GO:0000707	meiotic DNA recombinase assembly	减数分裂DNA重组酶组装
GO:0000708	meiotic strand invasion	减数分裂链侵入
GO:0000709	meiotic joint molecule formation	减数分裂连接分子形成
GO:0000710	meiotic mismatch repair	减数分裂错配修复
GO:0000711	meiotic DNA repair synthesis	减数分裂DNA修复合成
GO:0000712	resolution of meiotic recombination intermediates	减数分裂重组中间体的解离
GO:0000713	meiotic heteroduplex formation	减数分裂异源双链形成
GO:0000714	meiotic strand displacement	减数分裂链置换
GO:0000715	nucleotide-excision repair, DNA damage recognition	核苷酸切除修复,DNA损伤识别
GO:0000716	transcription-coupled nucleotide-excision repair, DNA damage recognition	转录偶联核苷酸切除修复,DNA损伤识别
GO:0000719	photoreactive repair	光复活修复
GO:0000720	pyrimidine dimer repair by nucleotide-excision repair	经核苷酸切除修复的嘧啶二聚体修复
GO:0000721	(R,R)-butanediol dehydrogenase activity	(R,R)-丁二醇脱氢酶活性
GO:0000722	telomere maintenance via recombination	经重组的端粒维持
GO:0000723	telomere maintenance	端粒维持
GO:0000724	double-strand break repair via homologous recombination	经同源重组的双链断裂修复
GO:0000725	recombinational repair	重组修复
GO:0000727	double-strand break repair via break-induced replication	经断裂诱导复制的双链断裂修复
GO:0000729	DNA double-strand break processing	DNA双链断裂加工
GO:0000730	DNA recombinase assembly	DNA重组酶组装
GO:0000731	DNA synthesis involved in DNA repair	DNA修复中的DNA合成
GO:0000732	DNA strand displacement	DNA链置换
GO:0000735	removal of nonhomologous ends	非同源末端的去除
GO:0000736	double-strand break repair via single-strand annealing, removal of nonhomologous ends	经单链退火的双链断裂修复,非同源末端的去除
GO:0000740	nuclear membrane fusion	核膜融合
GO:0000741	karyogamy	核配
GO:0000742	karyogamy involved in conjugation with cellular fusion	参与细胞融合接合的核配
GO:0000743	nuclear migration involved in conjugation with cellular fusion	参与细胞融合接合的细胞核迁移
GO:0000747	conjugation with cellular fusion	伴随细胞融合的接合
GO:0000748	conjugation with mutual genetic exchange	伴随相互遗传交换的接合
GO:0000749	response to pheromone triggering conjugation with cellular fusion	对信息素的响应,触发伴随细胞融合的接合
GO:0000751	mitotic cell cycle G1 arrest in response to pheromone	响应信息素的有丝分裂细胞周期G1阻滞
GO:0000752	agglutination involved in conjugation with cellular fusion	参与细胞融合接合的凝集
GO:0000753	cell morphogenesis involved in conjugation with cellular fusion	参与细胞融合接合的细胞形态发生
GO:0000755	cytogamy	胞质融合
GO:0000756	response to pheromone regulating conjugation with mutual genetic exchange	对信息素的响应,调控伴随相互遗传交换的接合
GO:0000760	adaptation to pheromone regulating conjugation with mutual genetic exchange	对信息素的适应,调控伴随相互遗传交换的接合
GO:0000761	conjugant formation	接合体形成
GO:0000762	pheromone-induced unidirectional conjugation	信息素诱导的单向接合
GO:0000765	response to pheromone regulating pheromone-induced unidirectional conjugation	对信息素的响应,调控信息素诱导的单向接合
GO:0000768	syncytium formation by cell-cell fusion	经细胞-细胞融合形成合胞体
GO:0000769	syncytium formation by mitosis without cytokinesis	经无胞质分裂的有丝分裂形成合胞体
GO:0000770	peptide pheromone export	肽信息素输出
GO:0000772	mating pheromone activity	交配信息素活性
GO:0000773	phosphatidyl-N-methylethanolamine N-methyltransferase activity	磷脂酰-N-甲基乙醇胺N-甲基转移酶活性
GO:0000774	adenyl-nucleotide exchange factor activity	腺嘌呤核苷酸交换因子活性
GO:0000775	chromosome, centromeric region	染色体,着丝粒区
GO:0000776	kinetochore	动粒
GO:0000779	condensed chromosome, centromeric region	凝缩染色体,着丝粒区
GO:0000781	chromosome, telomeric region	染色体,端粒区
GO:0000782	telomere cap complex	端粒帽复合体
GO:0000783	nuclear telomere cap complex	细胞核端粒帽复合体
GO:0000785	chromatin	染色质
GO:0000786	nucleosome	核小体
GO:0000791	euchromatin	常染色质
GO:0000792	heterochromatin	异染色质
GO:0000793	condensed chromosome	凝缩染色体
GO:0000794	condensed nuclear chromosome	凝缩核染色体
GO:0000795	synaptonemal complex	联会复合体
GO:0000796	condensin complex	凝缩蛋白复合体
GO:0000800	lateral element	侧元件
GO:0000801	central element	中央元件
GO:0000802	transverse filament	横向丝
GO:0000803	sex chromosome	性染色体
GO:0000804	W chromosome	W染色体
GO:0000805	X chromosome	X染色体
GO:0000806	Y chromosome	Y染色体
GO:0000807	Z chromosome	Z染色体
GO:0000808	origin recognition complex	起始点识别复合体
GO:0000809	cytoplasmic origin of replication recognition complex	细胞质复制起点识别复合体
GO:0000810	diacylglycerol diphosphate phosphatase activity	二酰甘油二磷酸磷酸酶活性
GO:0000811	GINS complex	GINS复合体
GO:0000812	Swr1 complex	Swr1复合体
GO:0000813	ESCRT I complex	ESCRT I复合体
GO:0000814	ESCRT II complex	ESCRT II复合体
GO:0000815	ESCRT III complex	ESCRT III复合体
GO:0000817	COMA complex	COMA复合体
GO:0000819	sister chromatid segregation	姐妹染色单体分离
GO:0000822	inositol hexakisphosphate binding	六磷酸肌醇结合
GO:0000823	inositol-1,4,5-trisphosphate 6-kinase activity	肌醇-1,4,5-三磷酸6-激酶活性
GO:0000824	inositol-1,4,5,6-tetrakisphosphate 3-kinase activity	肌醇-1,4,5,6-四磷酸3-激酶活性
GO:0000825	inositol-1,3,4,5-tetrakisphosphate 6-kinase activity	肌醇-1,3,4,5-四磷酸6-激酶活性
GO:0000827	inositol-1,3,4,5,6-pentakisphosphate kinase activity	肌醇-1,3,4,5,6-五磷酸激酶活性
GO:0000828	inositol hexakisphosphate kinase activity	六磷酸肌醇激酶活性
GO:0000829	diphosphoinositol pentakisphosphate kinase activity	二磷酸肌醇五磷酸激酶活性
GO:0000830	inositol hexakisphosphate 4-kinase activity	六磷酸肌醇4-激酶活性
GO:0000831	inositol hexakisphosphate 6-kinase activity	六磷酸肌醇6-激酶活性
GO:0000832	inositol hexakisphosphate 5-kinase activity	六磷酸肌醇5-激酶活性
GO:0000833	5-diphosphoinositol pentakisphosphate 4-kinase activity	5-二磷酸肌醇五磷酸4-激酶活性
GO:0000834	5-diphosphoinositol pentakisphosphate 6-kinase activity	5-二磷酸肌醇五磷酸6-激酶活性
GO:0000835	ER ubiquitin ligase complex	内质网泛素连接酶复合体
GO:0000836	Hrd1p ubiquitin ligase complex	Hrd1p泛素连接酶复合体
GO:0000837	Doa10p ubiquitin ligase complex	Doa10p泛素连接酶复合体
GO:0000838	Hrd1p ubiquitin ligase ERAD-M complex	Hrd1p泛素连接酶ERAD-M复合体
GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex	Hrd1p泛素连接酶ERAD-L复合体
GO:0000900	mRNA regulatory element binding translation repressor activity	mRNA调控元件结合的翻译阻遏蛋白活性
GO:0000901	translation repressor activity, non-nucleic acid binding	翻译阻遏蛋白活性,非核酸结合型
GO:0000902	cell morphogenesis	细胞形态发生
GO:0000905	sporocarp development involved in asexual reproduction	参与无性生殖的子实体发育
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity	6,7-二甲基-8-核糖基核黄素合酶活性
GO:0000907	sulfonate dioxygenase activity	磺酸双加氧酶活性
GO:0000908	taurine dioxygenase activity	牛磺酸双加氧酶活性
GO:0000909	sporocarp development involved in sexual reproduction	参与有性生殖的子实体发育
GO:0000910	cytokinesis	胞质分裂
GO:0000911	cytokinesis by cell plate formation	经细胞板形成的胞质分裂
GO:0000912	assembly of actomyosin apparatus involved in cytokinesis	参与胞质分裂的肌动球蛋白装置组装
GO:0000913	preprophase band assembly	前中期带组装
GO:0000914	phragmoplast assembly	成膜体组装
GO:0000915	actomyosin contractile ring assembly	肌动球蛋白收缩环组装
GO:0000916	actomyosin contractile ring contraction	肌动球蛋白收缩环收缩
GO:0000917	division septum assembly	分隔隔膜组装
GO:0000918	division septum site selection	分隔隔膜位点选择
GO:0000919	cell plate assembly	细胞板组装
GO:0000920	septum digestion after cytokinesis	胞质分裂后隔膜消化
GO:0000921	septin ring assembly	隔蛋白环组装
GO:0000922	spindle pole	纺锤体极
GO:0000923	equatorial microtubule organizing center	赤道微管组织中心
GO:0000930	gamma-tubulin complex	γ-微管蛋白复合体
GO:0000931	gamma-tubulin ring complex	γ-微管蛋白环复合体
GO:0000932	P-body	P小体
GO:0000933	adventitious septum	偶发隔膜
GO:0000934	porous cell septum	多孔细胞隔膜
GO:0000935	division septum	分隔隔膜
GO:0000936	primary cell septum	初生细胞隔膜
GO:0000937	dolipore septum	dolipore隔膜
GO:0000938	GARP complex	GARP复合体
GO:0000939	inner kinetochore	内层动粒
GO:0000940	outer kinetochore	外层动粒
GO:0000943	retrotransposon nucleocapsid	逆转录转座子核衣壳
GO:0000956	nuclear-transcribed mRNA catabolic process	核转录mRNA分解代谢过程
GO:0000957	mitochondrial RNA catabolic process	线粒体RNA分解代谢过程
GO:0000958	mitochondrial mRNA catabolic process	线粒体mRNA分解代谢过程
GO:0000959	mitochondrial RNA metabolic process	线粒体RNA代谢过程
GO:0000960	regulation of mitochondrial RNA catabolic process	线粒体RNA分解代谢过程的调控
GO:0000961	negative regulation of mitochondrial RNA catabolic process	线粒体RNA分解代谢过程的负调控
GO:0000962	positive regulation of mitochondrial RNA catabolic process	线粒体RNA分解代谢过程的正调控
GO:0000963	mitochondrial RNA processing	线粒体RNA加工
GO:0000964	mitochondrial RNA 5'-end processing	线粒体RNA 5'端加工
GO:0000965	mitochondrial RNA 3'-end processing	线粒体RNA 3'端加工
GO:0000966	RNA 5'-end processing	RNA 5'端加工
GO:0000967	rRNA 5'-end processing	rRNA 5'端加工
GO:0000968	tRNA exon ligation	tRNA外显子连接
GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	RNA聚合酶II基因DNA在核周缘的转录依赖性锚定
GO:0000973	post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery	RNA聚合酶II基因DNA在核周缘的转录后锚定
GO:0000974	Prp19 complex	Prp19复合体
GO:0000976	transcription cis-regulatory region binding	转录顺式调控区结合
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	RNA聚合酶II转录调控区序列特异性DNA结合
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA聚合酶II顺式调控区序列特异性DNA结合
GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	RNA聚合酶II核心启动子序列特异性DNA结合
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	DNA结合转录因子活性,RNA聚合酶II特异性
GO:0000987	cis-regulatory region sequence-specific DNA binding	顺式调控区序列特异性DNA结合
GO:0000992	RNA polymerase III cis-regulatory region sequence-specific DNA binding	RNA聚合酶III顺式调控区序列特异性DNA结合
GO:0000993	RNA polymerase II complex binding	RNA聚合酶II复合体结合
GO:0000994	RNA polymerase III core binding	RNA聚合酶III核心结合
GO:0000995	RNA polymerase III general transcription initiation factor activity	RNA聚合酶III通用转录起始因子活性
GO:0001000	bacterial-type RNA polymerase core enzyme binding	细菌型RNA聚合酶核心酶结合
GO:0001001	mitochondrial single-subunit type RNA polymerase binding	线粒体单亚基型RNA聚合酶结合
GO:0001002	RNA polymerase III type 1 promoter sequence-specific DNA binding	RNA聚合酶III 1型启动子序列特异性DNA结合
GO:0001003	RNA polymerase III type 2 promoter sequence-specific DNA binding	RNA聚合酶III 2型启动子序列特异性DNA结合
GO:0001006	RNA polymerase III type 3 promoter sequence-specific DNA binding	RNA聚合酶III 3型启动子序列特异性DNA结合
GO:0001014	snoRNA transcription by RNA polymerase III	经RNA聚合酶III的snoRNA转录
GO:0001015	snoRNA transcription by RNA polymerase II	经RNA聚合酶II的snoRNA转录
GO:0001016	RNA polymerase III transcription regulatory region sequence-specific DNA binding	RNA聚合酶III转录调控区序列特异性DNA结合
GO:0001018	mitochondrial promoter sequence-specific DNA binding	线粒体启动子序列特异性DNA结合
GO:0001019	plastid promoter transcription regulatory region sequence-specific DNA binding	质体启动子转录调控区序列特异性DNA结合
GO:0001025	RNA polymerase III general transcription initiation factor binding	RNA聚合酶III通用转录起始因子结合
GO:0001039	RNA polymerase III hybrid type promoter sequence-specific DNA binding	RNA聚合酶III杂合型启动子序列特异性DNA结合
GO:0001042	RNA polymerase I core binding	RNA聚合酶I核心结合
GO:0001046	core promoter sequence-specific DNA binding	核心启动子序列特异性DNA结合
GO:0001048	RNA polymerase IV core binding	RNA聚合酶IV核心结合
GO:0001049	RNA polymerase V core binding	RNA聚合酶V核心结合
GO:0001050	single-subunit type RNA polymerase binding	单亚基型RNA聚合酶结合
GO:0001051	plastid single-subunit type RNA polymerase binding	质体单亚基型RNA聚合酶结合
GO:0001052	plastid PEP RNA polymerase core enzyme binding	质体PEP RNA聚合酶核心酶结合
GO:0001059	transcription by RNA polymerase IV	经RNA聚合酶IV的转录
GO:0001060	transcription by RNA polymerase V	经RNA聚合酶V的转录
GO:0001067	transcription regulatory region nucleic acid binding	转录调控区核酸结合
GO:0001068	transcription regulatory region RNA binding	转录调控区RNA结合
GO:0001069	regulatory region RNA binding	调控区RNA结合
GO:0001070	RNA-binding transcription regulator activity	RNA结合转录调节因子活性
GO:0001072	transcription antitermination factor activity, RNA binding	转录抗终止因子活性,RNA结合
GO:0001073	transcription antitermination factor activity, DNA binding	转录抗终止因子活性,DNA结合
GO:0001091	RNA polymerase II general transcription initiation factor binding	RNA聚合酶II通用转录起始因子结合
